Table,Round,Player_Number1,Points1,Player_Number2,Points2,Player_Number3,Points3,Player_Number4,Points4
1,1,5,-5,8,33,1,-5,11,-23
2,1,12,-15,6,9,4,7,9,-1
3,1,2,-5,10,-23,13,47,3,-19
1,2,10,33,9,23,11,-73,5,17
2,2,3,-4,8,40,4,-18,7,-18
3,2,12,4,14,10,6,-30,1,16
1,3,10,5,9,9,12,-15,13,1
2,3,14,24,8,-4,4,-24,7,4
3,3,1,18,5,-14,11,-12,2,8
2,4,11,0,6,-4,5,10,9,-6
1,4,14,23,4,-3,10,-5,3,-15
3,4,7,15,13,-37,2,15,8,7
3,5,10,-5,14,29,12,-7,13,-17
2,5,3,-6,9,12,11,4,1,-10
1,5,7,-9,4,3,6,15,2,-9
