Table,Round,Player_Number1,Points1,Player_Number2,Points2,Player_Number3,Points3,Player_Number4,Points4
2,5,6,2,14,0,2,12,13,-14
1,6,7,-15,6,-5,10,-11,9,31
3,6,13,10,2,2,5,-2,4,-10
2,7,13,-4,1,-6,12,8,10,2
1,7,9,-6,6,-6,11,42,4,-30
3,7,3,14,14,-4,5,-18,8,8
2,6,14,9,3,-13,1,-5,8,9
1,5,3,-2,12,22,1,-2,7,-18
3,5,8,15,5,11,11,-13,4,-13
2,4,5,16,10,14,13,-6,6,-24
3,4,2,-44,7,40,4,-4,12,8
1,4,8,-7,1,-5,9,11,11,1
3,2,7,-10,3,0,2,2,4,8
1,2,10,6,14,-18,11,20,9,-8
3,1,2,-6,8,-8,3,-6,7,20
2,1,13,-13,14,-19,12,1,10,31
1,1,11,-9,9,-27,1,-5,5,41
2,3,6,-22,7,12,3,18,8,-8
2,2,12,-22,6,-22,1,14,13,30
3,3,11,8,9,-4,4,10,14,-14
1,3,2,-16,12,2,5,22,10,-8
